block,registration_gap,pct_registered,total_eligible_to_vote,registered_total,hisp_registration_gap,pct_hisp_registered,total_eligible_hispanic,registered_hisp_total,registered_1824_total,registered_2534_total,registered_3544_total
060816098001003,9,0.8615384615384616,65,56,3,0.625,8,5,6,3,13
060816098002012,9,0.25,12,3,5,0,5,0,0,0,0
060816098002027,9,0.7906976744186046,43,34,0,1,2,2,1,2,3
060816098003012,9,0.8125,48,39,-2,2,2,4,5,7,1
060816098004013,9,0.8448275862068966,58,49,-1,1.2,5,6,4,5,8
060816098004016,9,0.7428571428571429,35,26,1,0,1,0,3,4,3
060816099001012,9,0.8636363636363636,66,57,2,0.8571428571428571,14,12,11,3,1
060816100001002,9,0.9343065693430657,137,128,-5,1.3571428571428572,14,19,10,31,19
060816100002017,9,0.8333333333333334,54,45,11,0.3125,16,5,5,2,7
060816102011009,9,0.3076923076923077,13,4,5,0.2857142857142857,7,2,0,1,1
060816102011016,9,0.7906976744186046,43,34,-1,1.037037037037037,27,28,3,11,6
060816102014008,9,0.7692307692307693,39,30,6,0.5,12,6,3,10,6
060816102022003,9,0.4375,16,7,0,1,2,2,2,1,1
060816102022028,9,0.25,12,3,0,NA,0,0,0,0,0
060816103031004,9,0.7804878048780488,41,32,0,NA,0,0,1,5,7
060816103043007,9,0.7692307692307693,39,30,-3,Inf,0,3,3,5,6
060816109021002,9,0.55,20,11,2,0.6666666666666666,6,4,0,3,3
060816110002015,9,0.7428571428571429,35,26,0,1,7,7,3,6,5
060816111002030,9,0.5,18,9,3,0.25,4,1,0,1,2
060816111002032,9,0.5714285714285714,21,12,3,0,3,0,3,2,1
060816111003011,9,0.1,10,1,6,0,6,0,0,0,0
060816112002003,9,0.8,45,36,7,0.36363636363636365,11,4,1,6,15
060816097002047,8,0.6521739130434783,23,15,4,0.5,8,4,2,2,1
060816098002004,8,0.9012345679012346,81,73,6,0.5384615384615384,13,7,8,13,3
060816099002014,8,0.3333333333333333,12,4,4,0,4,0,1,0,1
060816099002024,8,0.7241379310344828,29,21,1,0.6666666666666666,3,2,0,1,6
060816100002009,8,0.8571428571428571,56,48,2,0.6666666666666666,6,4,6,2,7
060816104001007,8,0.9375,128,120,5,0.8888888888888888,45,40,13,29,22
060816104002002,8,0.950920245398773,163,155,4,0.9607843137254902,102,98,25,46,29
060816104003001,8,0.9540229885057471,174,166,2,0.975,80,78,25,34,35
060816104003005,8,0.8918918918918919,74,66,4,0.9024390243902439,41,37,12,14,8
060816107004008,8,0.9230769230769231,104,96,-5,1.25,20,25,13,14,13
060816109012004,8,0.8787878787878788,66,58,13,0.6060606060606061,33,20,4,17,14
060816110001015,8,0.5555555555555556,18,10,6,0.4,10,4,0,5,1
060816110004000,8,0.7948717948717948,39,31,0,1,3,3,3,2,4
060816111002007,8,0.8545454545454545,55,47,1,0.8,5,4,5,5,12
060816112001005,8,0.7333333333333333,30,22,4,0.6,10,6,0,8,3
060816098001011,7,0.9125,80,73,23,0.34285714285714286,35,12,4,11,17
060816098001012,7,0.5882352941176471,17,10,1,0.5,2,1,2,3,0
060816098002028,7,0.8870967741935484,62,55,-4,2,4,8,2,9,11
060816098003006,7,0.8157894736842105,38,31,-10,6,2,12,4,8,6
060816100002006,7,0.8292682926829268,41,34,9,0,9,0,1,5,6
060816100003004,7,0.8205128205128205,39,32,-4,2.3333333333333335,3,7,3,12,6
060816101002006,7,0.7878787878787878,33,26,3,0.6666666666666666,9,6,2,2,11
060816102021004,7,0.125,8,1,5,0,5,0,0,0,0
060816102022035,7,0.125,8,1,4,0,4,0,0,1,0
060816103031009,7,0.36363636363636365,11,4,0,NA,0,0,0,1,1
060816103033004,7,0.5625,16,9,0,1,1,1,1,0,6
060816107002009,7,0.9548387096774194,155,148,-8,1.5714285714285714,14,22,14,50,20
060816109011013,7,0.6956521739130435,23,16,1,0.75,4,3,1,1,4
060816109022018,7,0.8955223880597015,67,60,-5,1.5,10,15,7,10,17
060816110004001,7,0.7586206896551724,29,22,-3,4,1,4,1,4,3
060816110004012,7,0.8444444444444444,45,38,1,0.875,8,7,5,8,4
060816111002000,7,0.72,25,18,0,1,2,2,2,2,5
060816111002023,7,0.8157894736842105,38,31,-2,1.3333333333333333,6,8,3,3,6
060816111002024,7,0.7307692307692307,26,19,-9,4,3,12,3,2,1
060816113002018,7,0.6111111111111112,18,11,0,1,1,1,0,7,3
060816113004013,7,0.8409090909090909,44,37,4,0,4,0,5,3,6
060816113004017,7,0.7941176470588235,34,27,2,0.6,5,3,4,0,6
060816097002034,6,0.7142857142857143,21,15,2,0,2,0,1,1,1
060816098002005,6,0.7,20,14,2,0,2,0,0,1,3
060816098002025,6,0.8695652173913043,46,40,1,0.8,5,4,2,1,9
060816098003004,6,0.7692307692307693,26,20,1,0.75,4,3,3,1,4
060816098003008,6,0.8461538461538461,39,33,-3,Inf,0,3,3,7,8
060816098003013,6,0.8125,32,26,1,0.75,4,3,1,4,2
060816098004001,6,0.8775510204081632,49,43,-3,1.5,6,9,5,7,6
060816098004004,6,0.8285714285714286,35,29,-5,2.25,4,9,1,3,5
060816098004012,6,0.88,50,44,1,0.875,8,7,3,7,10
060816099001007,6,0.875,48,42,-3,1.375,8,11,6,2,9
060816099002004,6,0.8909090909090909,55,49,1,0.75,4,3,3,5,9
060816099002018,6,0.925,80,74,12,0.29411764705882354,17,5,11,7,12
060816099002025,6,0.76,25,19,6,0,6,0,2,1,1
060816101001006,6,0.6,15,9,5,0.16666666666666666,6,1,1,5,1
060816101001030,6,0.9117647058823529,68,62,5,0.6666666666666666,15,10,5,19,9
060816102012005,6,0.8378378378378378,37,31,14,0.5882352941176471,34,20,3,5,4
060816102013005,6,0.8064516129032258,31,25,-1,1.0909090909090908,11,12,6,8,1
060816102022043,6,0.4,10,4,5,0,5,0,0,3,0
060816102032002,6,0.9047619047619048,63,57,21,0.475,40,19,7,21,4
060816103031005,6,0.9285714285714286,84,78,-12,Inf,0,12,8,7,8
060816103032018,6,0.8536585365853658,41,35,0,NA,0,0,2,5,9
060816103032023,6,0.8421052631578947,38,32,0,1,2,2,2,3,5
060816107002010,6,0.7272727272727273,22,16,0,1,5,5,2,3,1
060816109011008,6,0.8064516129032258,31,25,7,0.631578947368421,19,12,7,8,2
060816109011019,6,0.9361702127659575,94,88,29,0.2564102564102564,39,10,11,19,12
060816109021008,6,0.9210526315789473,76,70,-16,1.8,20,36,9,21,17
060816109022011,6,0.8125,32,26,4,0.6666666666666666,12,8,4,3,4
060816110002002,6,0.5384615384615384,13,7,2,0,2,0,0,1,3
060816111001007,6,0.8285714285714286,35,29,2,0.3333333333333333,3,1,1,3,8
060816111001014,6,0.8235294117647058,34,28,-5,6,1,6,3,7,0
060816098003011,5,0.8809523809523809,42,37,0,1,6,6,2,3,9
060816098004005,5,0.9090909090909091,55,50,-3,Inf,0,3,1,4,14
060816098004010,5,0.8529411764705882,34,29,0,1,1,1,1,2,8
060816098004015,5,0.8837209302325582,43,38,-5,6,1,6,0,7,2
060816099002008,5,0.9166666666666666,60,55,5,0.375,8,3,3,7,6
060816100002010,5,0.8913043478260869,46,41,5,0.4444444444444444,9,4,2,8,4
060816100002016,5,0.9122807017543859,57,52,0,1,1,1,5,2,11
060816102012002,5,0.9152542372881356,59,54,17,0.6792452830188679,53,36,5,11,13
060816103021022,5,0.7916666666666666,24,19,3,0.5714285714285714,7,4,1,3,4
060816103032006,5,0.7222222222222222,18,13,2,0.5,4,2,0,1,7
060816103032016,5,0.8148148148148148,27,22,-2,3,1,3,3,3,2
060816103042016,5,0.7619047619047619,21,16,3,0,3,0,0,1,2
060816107001006,5,0.9152542372881356,59,54,-8,1.5714285714285714,14,22,8,12,5
060816109011000,5,0.8529411764705882,34,29,-4,1.8,5,9,2,16,5
060816109011007,5,0.7916666666666666,24,19,2,0.7142857142857143,7,5,3,1,3
060816109012005,5,0.9056603773584906,53,48,7,0.72,25,18,3,13,13
060816109012006,5,0.9473684210526315,95,90,12,0.625,32,20,3,20,18
060816109022001,5,0.8571428571428571,35,30,0,1,4,4,3,5,5
060816109022009,5,0.7916666666666666,24,19,7,0,7,0,0,1,8
060816109022013,5,0.8076923076923077,26,21,-2,2,2,4,0,4,4
060816109022014,5,0.8076923076923077,26,21,2,0.7142857142857143,7,5,0,4,5
060816111002015,5,0.8387096774193549,31,26,-2,2,2,4,0,6,5
060816112001006,5,0.8148148148148148,27,22,7,0,7,0,0,8,1
060816112001011,5,0.9230769230769231,65,60,10,0.5652173913043478,23,13,6,12,5
060816097001010,4,0.9466666666666667,75,71,-6,Inf,0,6,4,13,9
